Product Name,SKU,Price,Description,Category,Image,Stock
Modern Office Chair,CH-001,299.99,Ergonomic office chair with lumbar support,Furniture,images/chair-001.jpg,25
Standing Desk,DK-002,599.99,Adjustable height standing desk,Furniture,images/desk-002.jpg,15
LED Desk Lamp,LP-003,79.99,Adjustable LED desk lamp with USB charging,Lighting,images/lamp-003.jpg,50
Wireless Mouse,MS-004,29.99,Ergonomic wireless mouse with precision tracking,Electronics,images/mouse-004.jpg,100
Mechanical Keyboard,KB-005,149.99,RGB backlit mechanical keyboard,Electronics,images/keyboard-005.jpg,75
Monitor Stand,ST-006,49.99,Adjustable monitor stand with storage,Accessories,images/stand-006.jpg,40
Cable Organizer,CO-007,14.99,Desktop cable management system,Accessories,images/organizer-007.jpg,200
Bookshelf,BK-008,199.99,5-tier wooden bookshelf,Furniture,images/bookshelf-008.jpg,20
Desk Pad,DP-009,24.99,Large leather desk pad,Accessories,images/pad-009.jpg,150
Plant Pot,PP-010,19.99,Ceramic desk plant pot,Decor,images/pot-010.jpg,80
